"taxon","isocode","glottocode","xd_ids","soc_ids","in_dplace","EA023","EA024","EA025","EA026","EA027","in_kinbank","mMeB","mMyB","mFeB","mFyB","mF","mMeZ","mMyZ","mFeZ","mFyZ","mM"
"DIGO_2",,"digo1243","xd99","Ad30",1,8,7,15,9,,1,"aphu","aphu","baba mvyere","baba mdide","baba","mayo mvyere","mayo mdide","shangazi","shangazi","mayo"
"CHWAKA",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"RABAI",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"GIRYAMA",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"GIRYAMA_3",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"GIRYAMA_4",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"GIRYAMA_2",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"CONI",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"RABAI_2",,"giry1241","xd101","Ad32",1,8,7,15,9,7,1,"ahu","ahu","bam'zhere","bam'hoho","baba","hmam'zhere","hmam'hoho","tsangazimi","tsangazimi","hmama"
"PENDE",,"phen1239","xd44","Ac2",1,9,4,6,3,1,1,"ginathu; lemba","ginathu; lemba","tǎta; ginathu; lemba","tǎta; ginathu; lemba","tata","mǎma","mǎma","tǎta","tǎta","gina"
"H41_MBALA_1",,"mbal1257","xd39","Ac15",1,13,2,12,1,5,1,"ngwaaʃi; leemba","ngwaaʃi; leemba","daada; daada","daada; daada","dâda; dâawa; tata","maawa","maawa","daada","daada","maawa"
"MBALA_3",,"mbal1257","xd39","Ac15",1,13,2,12,1,5,1,"ngwaaʃi; leemba","ngwaaʃi; leemba","daada; daada","daada; daada","dâda; dâawa; tata","maawa","maawa","daada","daada","maawa"
