Options:
Model:                           Discrete: Independent
Tree File Name:                  ./processed_data/mXpermitted.bttrees
Data File Name:                  ./processed_data/mXpermitted.btdata
Log File Name:                   ./results/mXpermitted-indep-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3664068385
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./results/mXpermitted-indep-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000001
Restrictions:
    alpha1                       None
    beta1                        None
    alpha2                       None
    beta2                        None
Prior Information:
    Prior Categories:            100
    Priors
        alpha1 - exp 10.00 
        beta1 - exp 10.00 
        alpha2 - exp 10.00 
        beta2 - exp 10.00 
Tree Information
     Trees:                      100
     Taxa:                       56
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
178000	-48.368240	46	24.490783	3.314488	1.024528	0.815367	0.461805	0.038195	0.461805	0.038195	
179000	-48.405435	93	15.252930	2.663885	2.666371	0.512586	0.468563	0.031357	0.468713	0.031367	
180000	-46.531772	75	7.580734	0.519686	1.851333	1.000149	0.424312	0.054094	0.462617	0.058977	
181000	-49.482365	3	27.073375	4.483455	3.114915	3.166730	0.278939	0.221061	0.278939	0.221061	
182000	-46.198821	13	13.265465	1.170519	1.274842	0.215468	0.495387	0.004601	0.495412	0.004601	
183000	-46.894425	61	0.718058	0.401086	1.079414	3.407663	0.014295	0.024446	0.354695	0.606563	
184000	-48.894345	64	19.169566	3.435544	1.712306	0.035754	0.499810	0.000188	0.499815	0.000188	
185000	-48.710332	47	14.706012	1.783762	3.382753	4.534087	0.256402	0.243454	0.256550	0.243594	
186000	-48.490769	88	32.255611	2.631246	2.525937	4.224095	0.247624	0.252376	0.247624	0.252376	
187000	-48.531814	19	11.385319	2.431381	1.673368	4.509342	0.210300	0.287889	0.211829	0.289982	
188000	-47.846396	85	40.640064	6.293261	1.165846	2.526022	0.250721	0.249279	0.250721	0.249279	
189000	-46.429519	61	2.445267	0.534640	0.872066	2.464091	0.093562	0.137991	0.310501	0.457946	
190000	-47.419471	20	6.744507	0.728590	1.078733	2.858162	0.226233	0.239070	0.259973	0.274724	
191000	-48.934336	11	19.652646	2.259598	2.257131	4.553447	0.241677	0.258323	0.241677	0.258323	
192000	-47.456399	75	33.456811	3.783819	0.169870	1.841587	0.106232	0.393768	0.106232	0.393768	
193000	-47.059238	88	12.283820	1.363054	0.250266	4.189630	0.081115	0.418195	0.081339	0.419351	
194000	-47.735273	61	7.505465	1.861244	0.417594	4.247729	0.093138	0.384933	0.101682	0.420247	
195000	-46.183402	61	19.789422	2.085390	2.104389	0.964640	0.452084	0.047918	0.452080	0.047918	
196000	-48.183039	82	18.774370	1.698942	2.730235	3.278840	0.279569	0.220449	0.279548	0.220433	
197000	-47.419268	13	15.454969	1.199776	2.270256	1.888874	0.350990	0.149083	0.350888	0.149040	
198000	-48.832884	64	5.250858	0.431795	1.084147	1.956963	0.245710	0.190525	0.317542	0.246223	
199000	-48.468468	8	9.982539	0.496787	1.777844	1.347380	0.426708	0.078633	0.417689	0.076971	
200000	-50.874563	62	7.960240	1.503680	2.869541	6.824613	0.230617	0.250118	0.249100	0.270165	
201000	-46.504781	93	16.444120	1.097023	1.599332	0.588012	0.471983	0.028169	0.471696	0.028152	
202000	-50.606482	51	9.259646	0.837138	3.909869	7.924408	0.248456	0.249666	0.250329	0.251549	
203000	-48.813930	75	2.269566	0.835347	2.455394	3.448489	0.126816	0.113598	0.400675	0.358911	
204000	-47.376673	13	3.120035	0.527977	1.242770	1.033489	0.294498	0.041993	0.580706	0.082803	
205000	-48.315309	87	31.585373	3.339389	0.469900	2.060517	0.193128	0.306872	0.193128	0.306872	
206000	-49.426133	59	5.734084	0.260284	0.919221	1.643307	0.311807	0.126779	0.399130	0.162284	
207000	-47.907285	70	16.724213	1.515647	0.322816	2.233847	0.202773	0.297251	0.202753	0.297222	
208000	-49.448601	21	8.633524	1.514403	2.160326	5.505656	0.207088	0.271798	0.225349	0.295765	
209000	-50.989213	93	8.267560	1.652987	0.550502	0.456665	0.475912	0.013013	0.497473	0.013602	
210000	-46.344261	48	13.418826	1.275483	0.287588	2.648950	0.112808	0.387097	0.112851	0.387245	
211000	-47.496020	67	21.748434	2.435530	1.290616	0.234705	0.496322	0.003678	0.496322	0.003678	
212000	-45.697522	75	7.984741	0.750910	1.883697	0.127252	0.479312	0.001717	0.517118	0.001853	
