"","ID","Glottocode","Parameter_ID","Form","speaker","mf","consonant","vowel","reduplication"
"235","v_lalabisalala1264-mF-1","lala1264","mF","wata","m","F",NA,NA,NA
"236","v_lalabisalala1264-mM-1","lala1264","mM","wama","m","M",NA,NA,NA
"237","v_lambalamb1271-mF-1","lamb1271","mF","tata","m","F",NA,NA,NA
"238","v_lambalamb1271-mM-1","lamb1271","mM","mama","m","M",NA,NA,NA
"239","v_langilang1320-mF-1","lang1320","mF","taata","m","F",NA,NA,NA
"240","v_langilang1320-mM-1","lang1320","mM","iyo","m","M",NA,NA,NA
"241","v_lingalaling1263-mF-1","ling1263","mF","tatå","m","F",NA,NA,NA
"242","v_lingalaling1263-mM-1","ling1263","mM","mamå","m","M",NA,NA,NA
"243","v_lingalaling1263-mF-2","ling1263","mF","sango","m","F",NA,NA,NA
"244","v_lozilozi1239-mF-1","lozi1239","mF","ndole","m","F",NA,NA,NA
"245","v_lozilozi1239-mM-1","lozi1239","mM","me","m","M",NA,NA,NA
"246","v_lubakatangaluba1250-mM-1","luba1250","mM","ina","m","M",NA,NA,NA
"247","v_lubakatangaluba1250-mF-1","luba1250","mF","tata","m","F",NA,NA,NA
"248","v_lubalulualuba1249-mF-1","luba1249","mF","x'","m","F",NA,NA,NA
"249","v_lubalulualuba1249-mF-2","luba1249","mF","tatu","m","F",NA,NA,NA
"250","v_lubalulualuba1249-mM-1","luba1249","mM","mamu","m","M",NA,NA,NA
"251","v_lubalulualuba1249-mM-2","luba1249","mM","nyoku","m","M",NA,NA,NA
"252","v_lubalulualuba1249-mM-3","luba1249","mM","nyin","m","M",NA,NA,NA
"253","v_lubalulualuba1249-mM-4","luba1249","mM","baba","m","M",NA,NA,NA
"254","v_lugurulugu1238-mF-1","lugu1238","mF","baba","m","F",NA,NA,NA
"255","v_lugurulugu1238-mM-1","lugu1238","mM","mai","m","M",NA,NA,NA
"256","v_lugurulugu1238-mM-2","lugu1238","mM","mama","m","M",NA,NA,NA
"257","v_lundalund1266-mM-1","lund1266","mM","mama","m","M",NA,NA,NA
"258","v_lundalund1266-mF-1","lund1266","mF","tata","m","F",NA,NA,NA
"259","v_luvaleluva1239-mM-1","luva1239","mM","mama","m","M",NA,NA,NA
"260","v_luvaleluva1239-mF-1","luva1239","mF","tata","m","F",NA,NA,NA
"261","v_makondemako1251-mF-1","mako1251","mF","chão","m","F",NA,NA,NA
